DROP_ID,ITEM_ID,DROP_BIOME,DROP_RATE,MINDROP,MAXDROP,ORDER
6010501,5020201,"1, 3, 4, 5",30,1,5,6
6010502,5020202,"1, 3, 4, 5",30,1,5,6
6010503,5020203,"1, 3, 4, 5",30,1,5,6
6010504,5020204,"2, 5",15,1,5,6
6010505,5020205,"1, 3, 4, 5",30,1,5,6
6010506,5020206,"1, 3, 4, 5",30,1,5,6
6010507,5020207,"1, 3, 4, 5",30,1,5,6
6010508,5020208,"1, 4, 5",25,1,5,6
6010509,5020209,3,10,1,5,6
6010510,5020210,5,10,1,5,6
6010511,5020211,"3, 4",15,1,5,6
6010512,5020212,"3, 4",15,1,5,6
6010513,5020213,"1, 2",15,1,5,6
6010514,5020214,"1, 3",15,1,5,6
6010515,5020215,"2, 5",15,1,5,6
6010516,5020216,"2, 5",15,1,5,6
6010517,5020217,4,10,1,5,6
6010518,5020218,3,10,1,5,6
6010519,5020219,3,10,1,5,6
6010520,5020220,5,10,1,5,6
6010521,5020221,"1, 4, 5",25,1,5,6
6010522,5020222,1,10,1,5,6
6010523,5020223,"1, 4, 5",25,1,5,6
6010524,5020224,"1, 3, 4, 5",30,1,5,6
6010525,5020225,"1, 3, 4, 5",30,1,5,6
6010526,5020226,"1, 3, 4, 5",30,1,5,6
6010201,5020237,"1, 4",5,1,2,6
6010202,5020238,"2, 4",5,1,2,6
6010203,5020239,"3, 4",5,1,2,6
6010204,5020240,"5, 4",5,1,2,6
7025001,5070001,"1, 2, 3, 4, 5",60,100,250,6
