ID,STRING
DRAGON_ID,드래곤 아이디
DRAGON_NAME,드래곤 이름
DRAGON_NAME_1010101,플레임 드레이크
DRAGON_NAME_1010102,플레임 드레이크
DRAGON_NAME_1010103,플레임 드레이크
DRAGON_NAME_1010201,워터 드레이크
DRAGON_NAME_1010202,워터 드레이크
DRAGON_NAME_1010203,워터 드레이크
DRAGON_NAME_1010301,포레스트 드레이크
DRAGON_NAME_1010302,포레스트 드레이크
DRAGON_NAME_1010303,포레스트 드레이크
DRAGON_NAME_1010401,제피르 드레이크
DRAGON_NAME_1010402,제피르 드레이크
DRAGON_NAME_1010403,제피르 드레이크
DRAGON_NAME_1020101,레드 데저트 드래곤
DRAGON_NAME_1020102,레드 데저트 드래곤
DRAGON_NAME_1020103,레드 데저트 드래곤
DRAGON_NAME_1020201,블루 데저트 드래곤
DRAGON_NAME_1020202,블루 데저트 드래곤
DRAGON_NAME_1020203,블루 데저트 드래곤
DRAGON_NAME_1020301,그린 데저트 드래곤
DRAGON_NAME_1020302,그린 데저트 드래곤
DRAGON_NAME_1020303,그린 데저트 드래곤
DRAGON_NAME_1020401,화이트 데저트 드래곤
DRAGON_NAME_1020402,화이트 데저트 드래곤
DRAGON_NAME_1020403,화이트 데저트 드래곤
DRAGON_NAME_1030101,블레이즈 와이번
DRAGON_NAME_1030102,블레이즈 와이번
DRAGON_NAME_1030103,블레이즈 와이번
DRAGON_NAME_1030201,아쿠아 와이번
DRAGON_NAME_1030202,아쿠아 와이번
DRAGON_NAME_1030203,아쿠아 와이번
DRAGON_NAME_1030301,리프 와이번
DRAGON_NAME_1030302,리프 와이번
DRAGON_NAME_1030303,리프 와이번
DRAGON_NAME_1030401,게일 와이번
DRAGON_NAME_1030402,게일 와이번
DRAGON_NAME_1030403,게일 와이번
DRAGON_NAME_1040101,엠버 고르곤
DRAGON_NAME_1040102,엠버 고르곤
DRAGON_NAME_1040103,엠버 고르곤
DRAGON_NAME_1040201,세이렌 고르곤
DRAGON_NAME_1040202,세이렌 고르곤
DRAGON_NAME_1040203,세이렌 고르곤
DRAGON_NAME_1040301,테라 고르곤
DRAGON_NAME_1040302,테라 고르곤
DRAGON_NAME_1040303,테라 고르곤
DRAGON_NAME_1040401,스톰 고르곤
DRAGON_NAME_1040402,스톰 고르곤
DRAGON_NAME_1040403,스톰 고르곤
SPECIES_TYPE,종족 타입
ELEMENT_TYPE,속성 타입
GROWTH_TYPE,성장 단계 타입
MAXHP,최대 체력
MAXFTG,최대 피로도
MAXHYG,최대 청결
MAXFOOD,최대 배부름
MAXFRN,최대 친밀도
SCALE_SIZE,크기 배율
EVOEXP,다음 성장까지 필요 경험치
DEP_FOOD,음식 소모 속도
DEP_HYG,청결 소모 속도
DEP_FRN,친밀도 소모 속도
ATT_MULT,공격 계수
DEF_MULT,방어 계수
GROWTH_MULT,성장 단계 배수
MONSKILL_ID1,스킬 ID 1
MONSKILL1_ANIM,스킬 1 애니메이션
MONSKILL_ID2,스킬 ID 2
SKILL2_ANIM,스킬 2 애니메이션
NURTURE_ID,육성 아이디
NURTURE_NAME,육성 이름
NURTURE_NAME_4030101,먹이주기
NURTURE_NAME_4040201,목욕하기
NURTURE_NAME_4050401,놀아주기
NURTURE_NAME_4020301,휴식
NURTURE_NAME_4000501,하급 훈련
NURTURE_NAME_4000502,중급 탐험
NURTURE_NAME_4000503,상급 탐험
DEPLETE_HYG,청결 소모량
RECEIVE_FTG,피로도 누적량
REC_TYPE,회복 능력치
REC_PERCENT,기본 회복율 [%]
EXPGROWTH,획득 성장 경험치
RATE_DISEASE,질병 발동 확률
RATE_INJURY,부상 발동 확률
TIME,소요 시간
ACTIVATION_TYPE,활성 조건
NUR_UNLOCK_TYPE,해금 조건
ITEM_ID_DROP,아이템 아이디
ITEM_NAME,아이템 이름
ITEM_NAME_5020201,토마토
